f1,f2,value
"ES EBIMON Manual Usuario.txt","ES EBIMON Manual Usuario.txt",1.0
"ES EBIMON Manual Usuario.txt","ES EDICOM TSA Manual de usuario.txt",0.1261228663706325
"ES EBIMON Manual Usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.18375978013200295
"ES EBIMON Manual Usuario.txt","ES EDICOMNET Manual Usuario.txt",0.3777927677651258
"ES EBIMON Manual Usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.22220567743025518
"ES EBIMON Manual Usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.4056653861204606
"ES EBIMON Manual Usuario.txt","ES EDIWIN Manual Usuario.txt",0.46812121627958553
"ES EBIMON Manual Usuario.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.34373319472335345
"ES EBIMON Manual Usuario.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.3154153467900072
"ES EBIMON Manual Usuario.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.34881588504066524
"ES EBIMON Manual Usuario.txt","ES EDIWINMONITOR Manual de usuario.txt",0.2606161452749441
"ES EBIMON Manual Usuario.txt","ES EOS Manual de usuario.txt",0.27512393517816974
"ES EBIMON Manual Usuario.txt","ES RAEDICOM Manual de Usuario.txt",0.3373917785304382
"ES EBIMON Manual Usuario.txt","ES WebService Inditex Guia de usuario.txt",0.12633695350946525
"ES EBIMON Manual Usuario.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.25111900371021356
"ES EBIMON Manual Usuario.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.2740811472137237
"ES EBIMON Manual Usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.273100071729618
"ES EBIMON Manual Usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.2627411979753479
"ES EBIMON Manual Usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.31670478030669635
"ES EBIMON Manual Usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.14238160165746352
"ES EDICOM TSA Manual de usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.14870898717492637
"ES EDICOM TSA Manual de usuario.txt","ES CRP FLOW Manual de usuario.txt",0.12786980507106374
"ES EDICOM TSA Manual de usuario.txt","ES DVD Manual de Usuario.txt",0.1697679693840491
"ES EDICOM TSA Manual de usuario.txt","ES EAS Manual de Usuario.txt",0.23987681153804233
"ES EDICOM TSA Manual de usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.1484902431458231
"ES EDICOM TSA Manual de usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.3168262602650335
"ES EDICOM TSA Manual de usuario.txt","ES EBIMAP Manual de usuario.txt",0.1338607731051125
"ES EDICOM TSA Manual de usuario.txt","ES EBIMON Manual Usuario.txt",0.126122866370633
"ES EDICOM TSA Manual de usuario.txt","ES EDICOM TSA Manual de usuario.txt",1.0
"ES EDICOM TSA Manual de usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.13928786275879693
"ES EDICOM TSA Manual de usuario.txt","ES EDICOMNET Manual Usuario.txt",0.16001044080642593
"ES EDICOM TSA Manual de usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.14682051159791848
"ES EDICOM TSA Manual de usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.19071716861335275
"ES EDICOM TSA Manual de usuario.txt","ES EDIWIN Manual Usuario.txt",0.16003088846782046
"ES EDICOM TSA Manual de usuario.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.18550386116248418
"ES EDICOM TSA Manual de usuario.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.16951024447761154
"ES EDICOM TSA Manual de usuario.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.18767089615862004
"ES EDICOM TSA Manual de usuario.txt","ES EDIWINMONITOR Manual de usuario.txt",0.19022474811940035
"ES EDICOM TSA Manual de usuario.txt","ES EOS Manual de usuario.txt",0.20767288422331362
"ES EDICOM TSA Manual de usuario.txt","ES RAEDICOM Manual de Usuario.txt",0.24487538596678599
"ES EDICOM TSA Manual de usuario.txt","ES WebService Inditex Guia de usuario.txt",0.25551991225925036
"ES EDICOM TSA Manual de usuario.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.15702792223085066
"ES EDICOM TSA Manual de usuario.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.1625178678184583
"ES EDICOM TSA Manual de usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.17376486033977312
"ES EDICOM TSA Manual de usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.3306672074126857
"ES EDICOM TSA Manual de usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.21190727279509947
"ES EDICOM TSA Manual de usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.10523555444175328
"ES EDICOMDATA Manual de usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.3119854906479815
"ES EDICOMDATA Manual de usuario.txt","ES CRP FLOW Manual de usuario.txt",0.25754090174699124
"ES EDICOMDATA Manual de usuario.txt","ES DVD Manual de Usuario.txt",0.36459357015078303
"ES EDICOMDATA Manual de usuario.txt","ES EAS Manual de Usuario.txt",0.3365734699702149
"ES EDICOMDATA Manual de usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.16671819295683843
"ES EDICOMDATA Manual de usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.12256913047314036
"ES EDICOMDATA Manual de usuario.txt","ES EBIMAP Manual de usuario.txt",0.2580398924944732
"ES EDICOMDATA Manual de usuario.txt","ES EBIMON Manual Usuario.txt",0.18375978013200295
"ES EDICOMDATA Manual de usuario.txt","ES EDICOM TSA Manual de usuario.txt",0.1392878627587967
"ES EDICOMDATA Manual de usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.9999999999999999
"ES EDICOMDATA Manual de usuario.txt","ES EDICOMNET Manual Usuario.txt",0.2736727377625159
"ES EDICOMDATA Manual de usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.36023167501730596
"ES EDICOMDATA Manual de usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.4084958769570842
"ES EDICOMDATA Manual de usuario.txt","ES EDIWIN Manual Usuario.txt",0.3496231002934507
